순위,투자연도,투자월,종목선정일,시장,종목명,종목코드,시가총액,종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
22,2026,2026-07,2026-06-30,NASDAQ,Intel Corporation Common Stock,INTC,554066.2,131.72000122070312,14.86,198.48,256.96,488.04,-26.51
23,2026,2026-07,2026-06-30,NYSE,Mastercard Incorporated Common Stock,MA,459339.9,509.6400146484375,3.17,2.0,-10.73,-9.31,3.58
24,2026,2026-07,2026-06-30,NASDAQ,Applied Materials Inc. Common Stock,AMAT,452953.9,694.6400146484375,54.34,103.24,170.3,279.44,-23.39
25,2026,2026-07,2026-06-30,NASDAQ,Cisco Systems Inc. Common Stock (DE),CSCO,448614.1,117.6999969482422,-2.26,51.69,52.8,69.65,-4.47
26,2026,2026-07,2026-06-30,NYSE,AbbVie Inc. Common Stock,ABBV,446539.2,254.3099975585937,16.81,16.93,11.3,37.01,0.66
27,2026,2026-07,2026-06-30,NYSE,Caterpillar Inc. Common Stock,CAT,436720.8,1033.18994140625,17.96,45.84,80.35,166.14,-16.49
28,2026,2026-07,2026-06-30,NASDAQ,Costco Wholesale Corporation Common Stock,COST,422693.0,946.6799926757812,-1.01,-4.99,9.78,-4.37,-0.87
29,2026,2026-07,2026-06-30,NASDAQ,Lam Research Corporation Common Stock,LRCX,416627.7,410.9100036621094,29.14,92.32,140.05,322.14,-26.32
30,2026,2026-07,2026-06-30,NYSE,Bank of America Corporation Common Stock,BAC,413731.2,57.880001068115234,12.17,18.73,5.24,22.32,8.14
31,2026,2026-07,2026-06-30,NYSE,Oracle Corporation Common Stock,ORCL,404677.4,147.75999450683594,-34.56,0.44,-24.19,-32.42,-14.13
32,2026,2026-07,2026-06-30,NYSE,UnitedHealth Group Incorporated Common Stock (DE),UNH,386506.3,419.8200073242188,10.39,55.15,27.18,34.57,3.77
33,2026,2026-07,2026-06-30,NYSE,GE Aerospace Common Stock,GE,371459.4,373.7099914550781,15.43,31.69,21.32,45.19,-8.71
34,2026,2026-07,2026-06-30,NYSE,Coca-Cola Company (The) Common Stock,KO,358966.3,82.6500015258789,4.61,8.68,18.22,16.82,1.14
35,2026,2026-07,2026-06-30,NYSE,Chevron Corporation Common Stock,CVX,350461.5,168.47000122070312,-7.67,-18.57,10.54,17.65,16.42
36,2026,2026-07,2026-06-30,NYSE,Procter & Gamble Company (The) Common Stock,PG,345564.1,148.4499969482422,3.41,2.78,3.59,-6.82,1.7
37,2026,2026-07,2026-06-30,NYSE,Morgan Stanley Common Stock,MS,343958.5,211.72000122070312,1.79,28.65,19.26,50.31,4.53
38,2026,2026-07,2026-06-30,NYSE,Home Depot Inc. (The) Common Stock,HD,335240.6,350.8099975585937,10.62,6.66,1.95,-4.32,-6.02
39,2026,2026-07,2026-06-30,NYSE,HSBC Holdings plc. Common Stock,HSBC,330233.7,95.08000183105467,1.43,15.26,20.86,56.41,8.43
40,2026,2026-07,2026-06-30,NASDAQ,Arm Holdings plc American Depositary Shares,ARM,319471.9,343.5799865722656,-2.75,127.12,214.32,112.43,-20.07
41,2026,2026-07,2026-06-30,NASDAQ,Netflix Inc. Common Stock,NFLX,318294.3,73.77999877929688,-14.23,-23.27,-21.31,-44.9,-4.02
42,2026,2026-07,2026-06-30,NASDAQ,Palantir Technologies Inc. Class A Common Stock,PLTR,316972.6,115.6999969482422,-26.09,-20.91,-34.91,-15.13,6.77
43,2026,2026-07,2026-06-30,NYSE,Merck & Company Inc. Common Stock (new),MRK,311173.2,129.3800048828125,8.98,7.56,22.91,63.44,-0.8
44,2026,2026-07,2026-06-30,NYSE,Goldman Sachs Group Inc. (The) Common Stock,GS,303751.4,1020.2100219726562,-0.52,20.59,16.06,44.15,8.59
45,2026,2026-07,2026-06-30,NYSE,Novartis AG Common Stock,NVS,296087.9,157.58999633789062,4.94,3.17,14.3,30.23,-2.32
46,2026,2026-07,2026-06-30,NYSE,Philip Morris International Inc Common Stock,PM,291559.6,182.8699951171875,3.1,10.6,14.01,0.41,7.4
47,2026,2026-07,2026-06-30,NASDAQ,KLA Corporation Common Stock,KLAC,288922.0,278.3900146484375,44.87,89.07,129.11,210.79,-28.84
48,2026,2026-07,2026-06-30,NYSE,GE Vernova Inc. Common Stock,GEV,287796.4,1102.510009765625,13.86,26.3,68.69,108.35,-16.16
49,2026,2026-07,2026-06-30,NYSE,Royal Bank Of Canada Common Stock,RY,285974.5,204.7899932861328,8.05,26.59,20.12,55.67,2.16
50,2026,2026-07,2026-06-30,NYSE,International Business Machines Corporation Common Stock,IBM,283892.3,278.0,-6.65,14.69,-6.15,-5.69,-26.83
51,2026,2026-07,2026-06-30,NYSE,Dell Technologies Inc. Class C Common Stock,DELL,279963.2,414.6099853515625,-1.5,152.61,229.37,238.18,2.4
52,2026,2026-07,2026-06-30,NYSE,Toyota Motor Corporation Common Stock,TM,279808.2,171.36000061035156,-9.79,-16.85,-19.95,-0.52,6.84
53,2026,2026-07,2026-06-30,NASDAQ,Texas Instruments Incorporated Common Stock,TXN,274229.2,285.4800109863281,-6.61,47.05,64.55,37.5,-1.3
54,2026,2026-07,2026-06-30,NYSE,RTX Corporation Common Stock,RTX,262482.1,187.3300018310547,4.27,-2.89,2.14,28.29,2.71
55,2026,2026-07,2026-06-30,NYSE,Wells Fargo & Company Common Stock,WFC,261829.8,83.51000213623047,7.7,4.9,-10.4,4.23,4.57
56,2026,2026-07,2026-06-30,NASDAQ,Palo Alto Networks Inc. Common Stock,PANW,261280.8,332.0,17.86,107.09,80.24,62.24,-1.68
57,2026,2026-07,2026-06-30,NASDAQ,Sandisk Corporation Common Stock,SNDK,255777.7,2050.389892578125,20.97,222.72,763.76,4421.26,-29.66
58,2026,2026-07,2026-06-30,NYSE,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,BABA,254330.6,95.51000213623048,-23.11,-23.87,-34.84,-15.78,21.44
59,2026,2026-07,2026-06-30,NASDAQ,Linde plc Ordinary Shares,LIN,244099.9,511.05999755859375,2.69,3.09,19.86,8.93,-1.98
60,2026,2026-07,2026-06-30,NYSE,Mitsubishi UFJ Financial Group Inc. Common Stock,MUFG,237941.9,19.979999542236328,6.79,17.74,25.98,45.63,12.67
61,2026,2026-07,2026-06-30,NYSE,Comcast Holdings ZONES,CCZ,237659.1,66.25,4.66,1.92,10.4,8.43,-0.77
62,2026,2026-07,2026-06-30,NYSE,Citigroup Inc. Common Stock,C,234329.2,142.49000549316406,13.18,25.64,22.11,67.4,-5.51
63,2026,2026-07,2026-06-30,NYSE,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares),SHEL,233968.3,76.88999938964844,-8.59,-17.32,4.64,9.2,13.19
64,2026,2026-07,2026-06-30,NYSE,American Express Company Common Stock,AXP,229527.8,340.8800048828125,7.71,12.7,-7.86,6.87,3.1
65,2026,2026-07,2026-06-30,NYSE,Arista Networks Inc. Common Stock,ANET,227978.6,164.10000610351562,2.9,33.65,25.24,60.39,2.94
66,2026,2026-07,2026-06-30,NYSE,Novo Nordisk A/S Common Stock,NVO,216481.5,48.34000015258789,6.06,31.54,-4.99,-29.96,0.52
67,2026,2026-07,2026-06-30,NASDAQ,Marvell Technology Inc. Common Stock,MRVL,202699.9,277.75,35.49,180.41,226.84,258.85,-29.17
68,2026,2026-07,2026-06-30,NYSE,Banco Santander S.A. Sponsored ADR (Spain),SAN,199334.1,13.649999618530272,9.38,21.01,16.37,64.46,-0.43
69,2026,2026-07,2026-06-30,NYSE,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),BHP,198936.5,81.73999786376953,-8.06,12.37,35.4,69.97,1.48
70,2026,2026-07,2026-06-30,NASDAQ,Amgen Inc. Common Stock,AMGN,198607.2,360.5499877929688,7.05,2.47,10.16,29.13,1.09
71,2026,2026-07,2026-06-30,NYSE,McDonald's Corporation Common Stock,MCD,197698.3,267.17999267578125,-4.31,-14.03,-12.58,-8.55,-2.49
72,2026,2026-07,2026-06-30,NASDAQ,QUALCOMM Incorporated Common Stock,QCOM,196634.2,188.72000122070312,-24.82,46.54,10.33,18.5,-4.96
73,2026,2026-07,2026-06-30,NYSE,Toronto Dominion Bank (The) Common Stock,TD,195910.9,120.33000183105467,5.94,28.96,27.74,63.83,-0.11
74,2026,2026-07,2026-06-30,NASDAQ,T-Mobile US Inc. Common Stock,TMUS,194948.4,173.97000122070312,-7.23,-17.17,-14.32,-26.98,13.84
75,2026,2026-07,2026-06-30,NASDAQ,PepsiCo Inc. Common Stock,PEP,194778.2,138.67999267578125,-3.82,-10.7,-3.37,5.03,0.18
76,2026,2026-07,2026-06-30,NYSE,Amphenol Corporation Common Stock,APH,194647.7,166.4199981689453,11.87,31.71,23.15,68.53,-10.67
77,2026,2026-07,2026-06-30,NASDAQ,CrowdStrike Holdings Inc. Class A Common Stock,CRWD,194609.7,185.7274932861328,1.63,90.29,58.48,45.87,-1.24
78,2026,2026-07,2026-06-30,NYSE,SAP  SE ADS,SAP,193391.1,154.89999389648438,-14.79,-9.53,-36.23,-49.06,-3.48
79,2026,2026-07,2026-06-30,NASDAQ,Seagate Technology Holdings PLC Ordinary Shares (Ireland),STX,192841.4,968.530029296875,10.09,147.23,251.69,571.05,-5.9
80,2026,2026-07,2026-06-30,NASDAQ,Western Digital Corporation Common Stock,WDC,189678.6,651.8800048828125,22.72,141.0,278.41,918.72,-12.85
81,2026,2026-07,2026-06-30,NYSE,Thermo Fisher Scientific Inc Common Stock,TMO,189575.3,506.4200134277344,2.82,3.03,-12.6,24.9,5.01
82,2026,2026-07,2026-06-30,NASDAQ,Analog Devices Inc. Common Stock,ADI,187723.3,391.7799987792969,-5.33,23.15,44.46,64.6,-2.63
83,2026,2026-07,2026-06-30,NYSE,NextEra Energy Inc. Common Stock,NEE,182342.3,88.66000366210938,1.9,-4.54,10.44,27.72,1.87
84,2026,2026-07,2026-06-30,NYSE,Boeing Company (The) Common Stock,BA,177328.6,214.69000244140625,-7.12,7.87,-1.12,2.46,-3.61
85,2026,2026-07,2026-06-30,NYSE,Verizon Communications Inc. Common Stock,VZ,177252.5,44.09999847412109,-7.76,-12.15,8.27,1.92,4.61
86,2026,2026-07,2026-06-30,NYSE,Charles Schwab Corporation (The) Common Stock,SCHW,176870.1,90.5500030517578,3.66,-3.65,-9.37,-0.76,9.24
87,2026,2026-07,2026-06-30,NASDAQ,Applovin Corporation Class A Common Stock,APP,175421.1,498.760009765625,-18.65,25.32,-25.98,42.47,-19.94
88,2026,2026-07,2026-06-30,NYSE,TotalEnergies SE Ordinary Shares,TTE,172083.4,77.66999816894531,-11.05,-14.63,18.73,26.52,9.19
89,2026,2026-07,2026-06-30,NYSE,TJX Companies Inc. (The) Common Stock,TJX,168787.8,151.22999572753906,-2.27,-5.3,-1.55,22.46,2.58
90,2026,2026-07,2026-06-30,NASDAQ,Gilead Sciences Inc. Common Stock,GILD,168630.0,126.33000183105467,-6.03,-9.36,2.92,13.94,3.17
91,2026,2026-07,2026-06-30,NYSE,Walt Disney Company (The) Common Stock,DIS,167920.7,98.62999725341795,-3.14,2.33,-13.31,-20.47,-0.39
92,2026,2026-07,2026-06-30,NYSE,Union Pacific Corporation Common Stock,UNP,166797.8,272.70001220703125,3.83,12.4,17.89,18.52,7.56
93,2026,2026-07,2026-06-30,NYSE,Abbott Laboratories Common Stock,ABT,165785.7,92.70999908447266,8.31,-9.7,-26.0,-31.84,10.83
94,2026,2026-07,2026-06-30,NYSE,Welltower Inc. Common Stock,WELL,165113.4,227.72999572753903,10.91,15.18,22.69,48.14,7.96
95,2026,2026-07,2026-06-30,NYSE,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),SMFG,161520.4,23.709999084472656,7.92,20.05,22.66,56.92,10.6
96,2026,2026-07,2026-06-30,NYSE,Deere & Company Common Stock,DE,161082.5,626.6300048828125,15.58,11.24,34.59,23.23,-4.26
97,2026,2026-07,2026-06-30,NASDAQ,Interactive Brokers Group Inc. Class A Common Stock,IBKR,158439.4,88.19999694824219,1.41,31.5,37.15,59.18,7.42
98,2026,2026-07,2026-06-30,NYSE,Corning Incorporated Common Stock,GLW,158383.2,255.69000244140625,41.14,88.05,192.02,386.2,-39.69
99,2026,2026-07,2026-06-30,NYSE,UBS Group AG Registered Ordinary Shares,UBS,158078.6,49.4900016784668,5.12,26.67,6.87,46.33,6.23
100,2026,2026-07,2026-06-30,NYSE,Eaton Corporation PLC Ordinary Shares,ETN,155149.1,408.260009765625,1.91,14.14,28.18,14.36,-4.51
101,2026,2026-07,2026-06-30,NASDAQ,Shopify Inc. Class A Subordinate Voting Shares,SHOP,154486.6,114.20999908447266,-3.79,-3.72,-29.05,-0.99,3.71
102,2026,2026-07,2026-06-30,NYSE,BlackRock Inc. Common Stock,BLK,153734.4,950.1699829101562,-9.24,-1.2,-11.23,-9.44,9.89
103,2026,2026-07,2026-06-30,NYSE,Uber Technologies Inc. Common Stock,UBER,149820.1,75.5,7.24,4.96,-7.6,-19.08,-2.54
104,2026,2026-07,2026-06-30,NASDAQ,Intuitive Surgical Inc. Common Stock,ISRG,147013.0,405.9700012207031,-4.4,-11.94,-28.32,-25.29,-14.33
105,2026,2026-07,2026-06-30,NYSE,AT&T Inc.,T,146748.9,21.81999969482422,-12.02,-24.73,-12.16,-24.6,11.3
106,2026,2026-07,2026-06-30,NYSE,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,BBVA,144551.1,24.709999084472656,5.64,14.08,6.01,60.77,4.67
107,2026,2026-07,2026-06-30,NYSE,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),BUD,142212.4,83.83999633789062,4.81,20.86,30.92,22.0,0.83
108,2026,2026-07,2026-06-30,NYSE,Southern Copper Corporation Common Stock,SCCO,139508.1,168.4499969482422,-11.94,-1.12,19.53,72.58,12.18
109,2026,2026-07,2026-06-30,NYSE,Chubb Limited  Common Stock,CB,137725.2,343.2900085449219,10.12,5.33,9.99,18.49,0.73
110,2026,2026-07,2026-06-30,NYSE,Pfizer Inc. Common Stock,PFE,137071.6,24.3700008392334,-6.91,-13.21,-2.13,0.54,3.07
111,2026,2026-07,2026-06-30,NYSE,Salesforce Inc. Common Stock,CRM,136429.0,157.92999267578125,-17.36,-15.4,-40.38,-42.08,4.05
112,2026,2026-07,2026-06-30,NYSE,Progressive Corporation (The) Common Stock,PGR,136092.0,219.8600006103516,15.47,10.91,-3.45,-17.61,-6.37
113,2026,2026-07,2026-06-30,NYSE,Unilever PLC American Depositary Shares (each representing One Ordinary Share),UL,135133.1,61.20000076293945,8.41,7.42,-6.42,-11.16,2.84
114,2026,2026-07,2026-06-30,NASDAQ,Booking Holdings Inc. Common Stock,BKNG,135053.6,182.4100036621093,8.95,8.31,-14.85,-21.23,-0.21
115,2026,2026-07,2026-06-30,NYSE,Danaher Corporation Common Stock,DHR,135021.4,192.77999877929688,5.53,1.68,-15.79,-2.41,-5.95
116,2026,2026-07,2026-06-30,NYSE,ConocoPhillips Common Stock,COP,134889.5,104.1999969482422,-8.58,-21.06,11.31,16.11,14.27
117,2026,2026-07,2026-06-30,NYSE,HDFC Bank Limited Common Stock,HDB,133836.4,25.90999984741211,8.96,4.14,-29.09,-32.41,-10.26
118,2026,2026-07,2026-06-30,NYSE,CVS Health Corporation Common Stock,CVS,133296.1,103.58000183105467,13.85,44.22,30.52,50.16,4.48
119,2026,2026-07,2026-06-30,NYSE,British American Tobacco  Industries p.l.c. Common Stock ADR,BTI,133085.6,62.7400016784668,1.54,7.3,10.81,32.56,0.49
120,2026,2026-07,2026-06-30,NYSE,Prologis Inc. Common Stock,PLD,131459.7,138.88999938964844,-3.19,5.08,8.8,32.13,6.81
121,2026,2026-07,2026-06-30,NYSE,Sony Group Corporation American Depositary Shares,SONY,130068.5,20.43000030517578,-5.29,-1.3,-20.2,-21.51,4.29
122,2026,2026-07,2026-06-30,NYSE,S&P Global Inc. Common Stock,SPGI,127513.8,386.5279235839844,-3.64,-3.95,-21.82,-22.52,11.36
123,2026,2026-07,2026-06-30,NYSE,Mizuho Financial Group Inc. Sponosred ADR (Japan),MFG,127355.8,9.5600004196167,6.58,20.4,30.6,71.94,9.6
124,2026,2026-07,2026-06-30,NASDAQ,Vertex Pharmaceuticals Incorporated Common Stock,VRTX,126504.2,499.6499938964844,11.64,11.89,10.21,12.23,-4.86
125,2026,2026-07,2026-06-30,NYSE,Stryker Corporation Common Stock,SYK,125301.5,330.5199890136719,8.34,0.59,-5.96,-16.46,-1.78
126,2026,2026-07,2026-06-30,NYSE,Bank Of Montreal Common Stock,BMO,123015.6,176.0800018310547,8.68,30.1,35.67,59.16,1.34
127,2026,2026-07,2026-06-30,NYSE,Vertiv Holdings LLC Class A Common Stock,VRT,122073.6,306.9700012207031,-2.77,22.5,89.48,139.05,-10.05
128,2026,2026-07,2026-06-30,NYSE,Lockheed Martin Corporation Common Stock,LMT,121728.4,502.0700073242188,-5.35,-16.93,3.8,8.41,0.96
129,2026,2026-07,2026-06-30,NYSE,Altria Group Inc.,MO,121584.8,74.05000305175781,6.42,12.21,28.43,26.3,0.31
130,2026,2026-07,2026-06-30,NASDAQ,PDD Holdings Inc. American Depositary Shares,PDD,120618.6,76.54000091552734,-9.36,-25.09,-32.5,-26.87,9.58
131,2026,2026-07,2026-06-30,NYSE,Enbridge Inc Common Stock,ENB,120250.7,55.400001525878906,1.21,2.33,15.83,22.24,3.76
132,2026,2026-07,2026-06-30,NYSE,Lowe's Companies Inc. Common Stock,LOW,119346.5,219.6499938964844,2.47,-7.04,-8.92,-1.0,-7.32
133,2026,2026-07,2026-06-30,NYSE,Parker-Hannifin Corporation Common Stock,PH,118411.5,963.7899780273438,14.11,7.66,9.65,37.99,-0.75
134,2026,2026-07,2026-06-30,NASDAQ,Starbucks Corporation Common Stock,SBUX,118380.6,104.05999755859376,4.94,16.15,23.57,13.57,1.75
135,2026,2026-07,2026-06-30,NYSE,Capital One Financial Corporation Common Stock,COF,118244.9,202.27999877929688,7.64,10.88,-16.54,-4.93,0.37
136,2026,2026-07,2026-06-30,NYSE,Bristol-Myers Squibb Company Common Stock,BMY,117500.8,58.560001373291016,2.41,-3.45,8.57,26.51,5.45
137,2026,2026-07,2026-06-30,NASDAQ,Fortinet Inc. Common Stock,FTNT,114813.3,155.4199981689453,12.65,90.19,95.72,47.01,0.93
138,2026,2026-07,2026-06-30,NYSE,Rio Tinto Plc Common Stock,RIO,111533.7,94.29000091552734,-11.37,1.07,17.82,61.65,-2.79
139,2026,2026-07,2026-06-30,NYSE,ServiceNow Inc. Common Stock,NOW,111121.2,99.97000122070312,-19.62,-4.38,-34.74,-51.38,-3.85
140,2026,2026-07,2026-06-30,NYSE,Petroleo Brasileiro S.A. Petrobras ADS,PBR,111100.9,16.280000686645508,-13.27,-21.54,37.38,30.14,16.89
141,2026,2026-07,2026-06-30,NYSE,Southern Company (The) Common Stock,SO,108747.5,96.75,5.11,0.24,10.95,5.36,0.09
142,2026,2026-07,2026-06-30,NYSE,Howmet Aerospace Inc. Common Stock,HWM,108661.2,268.57000732421875,4.0,16.54,31.0,44.29,4.4
143,2026,2026-07,2026-06-30,NYSE,GSK plc American Depositary Shares (Each representing two Ordinary Shares),GSK,106359.7,52.810001373291016,4.49,-4.31,7.69,37.53,-3.17
144,2026,2026-07,2026-06-30,NYSE,Brookfield Corporation Class A Limited Voting Shares,BN,105210.7,42.13999938964844,-7.57,4.13,-8.17,2.2,-1.83
145,2026,2026-07,2026-06-30,NYSE,Medtronic plc. Ordinary Shares,MDT,104976.5,80.93000030517578,9.65,-6.6,-15.75,-7.16,4.68
146,2026,2026-07,2026-06-30,NYSE,Trane Technologies plc,TT,104402.3,480.3500061035156,6.44,15.26,23.42,9.82,-3.58
147,2026,2026-07,2026-06-30,NASDAQ,Sanofi ADS,SNY,104334.2,43.43000030517578,-0.55,-9.86,-10.38,-10.1,2.65
148,2026,2026-07,2026-06-30,NYSE,Canadian Imperial Bank of Commerce Common Stock,CM,104260.6,113.56999969482422,4.44,19.86,25.34,60.34,2.38
149,2026,2026-07,2026-06-30,NYSE,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,BNS,104166.5,86.5999984741211,8.18,24.95,17.52,56.69,0.84
150,2026,2026-07,2026-06-30,NASDAQ,Cadence Design Systems Inc. Common Stock,CDNS,103171.7,372.7200012207031,-0.59,34.13,19.24,20.95,-10.21
151,2026,2026-07,2026-06-30,NYSE,The Bank of New York Mellon Corporation Common Stock,BNY,103052.9,143.8000030517578,3.13,21.22,23.87,57.83,10.91
152,2026,2026-07,2026-06-30,NYSE,ICICI Bank Limited Common Stock,IBN,102930.2,29.36000061035156,11.93,13.36,-1.48,-12.72,1.45
153,2026,2026-07,2026-06-30,NYSE,BP p.l.c. Common Stock,BP,102649.1,37.34999847412109,-10.8,-20.53,7.54,24.79,17.24
154,2026,2026-07,2026-06-30,NASDAQ,Robinhood Markets Inc. Class A Common Stock,HOOD,102234.3,101.83000183105467,7.99,46.94,-9.96,8.76,4.19
155,2026,2026-07,2026-06-30,NYSE,General Dynamics Corporation Common Stock,GD,101224.7,348.07000732421875,0.36,1.41,3.39,19.34,5.34
156,2026,2026-07,2026-06-30,NASDAQ,Equinix Inc. Common Stock REIT,EQIX,100199.3,1085.1700439453125,1.6,10.7,41.64,36.42,-1.31
157,2026,2026-07,2026-06-30,NYSE,Quanta Services Inc. Common Stock,PWR,99989.6,714.4500122070312,0.38,30.13,69.28,88.97,-10.68
158,2026,2026-07,2026-06-30,NYSE,Spotify Technology S.A. Ordinary Shares,SPOT,99874.1,462.2900085449219,-7.11,-4.66,-20.39,-39.75,3.27
159,2026,2026-07,2026-06-30,NYSE,Newmont Corporation,NEM,99495.9,94.51000213623048,-13.93,-12.69,-5.35,62.22,2.52
160,2026,2026-07,2026-06-30,NYSE,PNC Financial Services Group Inc. (The) Common Stock,PNC,98997.7,246.72999572753903,11.58,18.57,18.21,32.35,2.55
161,2026,2026-07,2026-06-30,NYSE,Duke Energy Corporation (Holding Company) Common Stock,DUK,98845.0,128.3300018310547,4.56,-1.99,9.49,8.75,1.08
162,2026,2026-07,2026-06-30,NYSE,McKesson Corporation Common Stock,MCK,98406.2,747.530029296875,0.69,-13.62,-8.87,2.01,7.73
163,2026,2026-07,2026-06-30,NASDAQ,Marriott International Class A Common Stock,MAR,97870.7,374.8800048828125,-0.19,14.62,20.84,37.21,-0.21
164,2026,2026-07,2026-06-30,NASDAQ,Automatic Data Processing Inc. Common Stock,ADP,97186.3,224.97000122070312,1.41,10.72,-12.54,-27.05,8.56
165,2026,2026-07,2026-06-30,NYSE,Cloudflare Inc. Class A Common Stock,NET,96637.7,243.759994506836,0.8,18.14,23.64,24.48,9.66
166,2026,2026-07,2026-06-30,NYSE,U.S. Bancorp Common Stock,USB,94619.0,61.27999877929688,11.72,17.82,14.84,35.43,6.74
167,2026,2026-07,2026-06-30,NYSE,Waste Management Inc. Common Stock,WM,93944.6,223.3699951171875,5.63,-2.79,1.67,-2.38,6.06
168,2026,2026-07,2026-06-30,NYSE,United Parcel Service Inc. Common Stock,UPS,93449.7,108.01000213623048,1.24,9.79,8.89,7.0,7.76
169,2026,2026-07,2026-06-30,NYSE,Barclays PLC Common Stock,BCS,93136.1,26.86000061035156,9.5,26.94,5.54,44.49,4.73
170,2026,2026-07,2026-06-30,NASDAQ,Monster Beverage Corporation,MNST,93057.5,97.63999938964844,10.85,34.75,27.35,55.87,-0.47
171,2026,2026-07,2026-06-30,NASDAQ,Datadog Inc. Class A Common Stock,DDOG,92937.6,248.57000732421875,0.49,110.56,82.79,85.04,-5.6
172,2026,2026-07,2026-06-30,NYSE,ING Group N.V. Common Stock,ING,92732.9,31.18000030517578,0.78,19.69,11.36,42.57,6.21
173,2026,2026-07,2026-06-30,NYSE,Cummins Inc. Common Stock,CMI,92343.7,691.0900268554688,6.88,28.45,35.39,111.02,-7.36
174,2026,2026-07,2026-06-30,NYSE,Williams Companies Inc. (The) Common Stock,WMB,92055.1,75.05999755859375,5.14,3.13,24.87,19.5,0.2
175,2026,2026-07,2026-06-30,NASDAQ,MercadoLibre Inc. Common Stock,MELI,91730.5,1683.1300048828125,-0.74,-2.65,-16.44,-35.6,6.0
